# Emission
# Column format:
# Wavelength (nm)	Emission angle (deg)	C+ (W*m^-2*sr^-1*nm^-1)	
4.660000E2	4.600000E1	2.430031E-6
4.660000E2	4.800000E1	2.272467E-6
4.660000E2	5.000000E1	2.182424E-6
4.660000E2	5.200000E1	2.124389E-6
4.660000E2	5.400000E1	2.083544E-6
4.660000E2	5.600000E1	2.052583E-6
4.660000E2	5.800000E1	2.027223E-6
4.660000E2	6.000000E1	2.004459E-6
4.660000E2	6.200000E1	1.981786E-6
4.660000E2	6.400000E1	1.956805E-6
4.660000E2	6.600000E1	1.926963E-6
4.660000E2	6.800000E1	1.889332E-6
4.660000E2	7.000000E1	1.840374E-6
4.660000E2	7.200000E1	1.775655E-6
4.660000E2	7.400000E1	1.689513E-6
4.660000E2	7.600000E1	1.574748E-6
4.660000E2	7.800000E1	1.422577E-6
4.660000E2	8.000000E1	1.223569E-6
4.680000E2	0.000000E0	8.103907E-6
4.680000E2	2.000000E0	8.091763E-6
4.680000E2	4.000000E0	8.055450E-6
4.680000E2	6.000000E0	7.995324E-6
4.680000E2	8.000000E0	7.911974E-6
4.680000E2	1.000000E1	7.806222E-6
4.680000E2	1.200000E1	7.679112E-6
4.680000E2	1.400000E1	7.531902E-6
4.680000E2	1.600000E1	7.366049E-6
4.680000E2	1.800000E1	7.183195E-6
4.680000E2	2.000000E1	6.985151E-6
4.680000E2	2.200000E1	6.773880E-6
4.680000E2	2.400000E1	6.551501E-6
4.680000E2	2.600000E1	6.320320E-6
4.680000E2	2.800000E1	6.082958E-6
4.680000E2	3.000000E1	5.842670E-6
4.680000E2	3.200000E1	5.604189E-6
4.680000E2	3.400000E1	5.376059E-6
4.680000E2	3.600000E1	5.178009E-6
4.680000E2	3.800000E1	5.071337E-6
4.680000E2	4.000000E1	5.379327E-6
4.680000E2	4.200000E1	7.486577E-6
4.680000E2	4.400000E1	5.599184E-6
4.680000E2	4.600000E1	4.920221E-6
4.680000E2	4.800000E1	4.584107E-6
4.680000E2	5.000000E1	4.384730E-6
4.680000E2	5.200000E1	4.251455E-6
4.680000E2	5.400000E1	4.154642E-6
4.680000E2	5.600000E1	4.079509E-6
4.680000E2	5.800000E1	4.017284E-6
4.680000E2	6.000000E1	3.961754E-6
4.680000E2	6.200000E1	3.907735E-6
4.680000E2	6.400000E1	3.850287E-6
4.680000E2	6.600000E1	3.784208E-6
